id,Failure_pred,Failure_prob
136429,0,0.0022
136430,0,0.0012
136431,0,0.0027
136432,0,0.0029
136433,0,0.0034
136434,0,0.0028
136435,0,0.0039
136436,0,0.0049
136437,0,0.0013
136438,0,0.0013
136439,0,0.0025
136440,0,0.0022
136441,0,0.0013
136442,0,0.0019
136443,0,0.0026
136444,0,0.0054
136445,0,0.0011
136446,1,0.9913
136447,0,0.0025
136448,0,0.0019
136449,0,0.0054
136450,0,0.0041
136451,0,0.0195
136452,0,0.0202
136453,0,0.0039
136454,0,0.0015
136455,0,0.0018
136456,0,0.0068
136457,0,0.006
136458,0,0.0047
136459,0,0.0034
136460,0,0.0028
136461,0,0.0013
136462,0,0.0173
136463,0,0.0021
136464,0,0.0033
136465,0,0.0016
136466,0,0.0021
136467,0,0.0014
136468,0,0.0027
136469,0,0.0014
136470,0,0.0028
136471,0,0.0086
136472,0,0.007
136473,0,0.0025
136474,0,0.0024
136475,0,0.003
136476,0,0.0063
136477,0,0.0024
136478,0,0.0023
136479,0,0.0013
136480,0,0.0064
136481,0,0.0024
136482,0,0.0288
136483,0,0.0029
136484,0,0.0012
136485,0,0.0014
136486,0,0.0025
136487,0,0.0016
136488,0,0.0042
136489,0,0.0012
136490,0,0.0213
136491,0,0.0036
136492,0,0.0033
136493,0,0.0033
136494,0,0.0012
136495,0,0.0029
136496,0,0.0046
136497,0,0.0026
136498,0,0.0096
136499,0,0.0015
136500,0,0.0007
136501,0,0.0017
136502,0,0.0059
136503,0,0.0026
136504,0,0.0013
136505,0,0.0011
136506,0,0.0028
136507,0,0.0008
136508,0,0.0011
136509,0,0.0036
136510,0,0.0017
136511,0,0.0098
136512,0,0.0009
136513,0,0.0067
136514,0,0.0022
136515,0,0.0022
136516,0,0.0036
136517,0,0.0017
136518,0,0.0017
136519,0,0.0027
136520,0,0.0018
136521,0,0.002
136522,0,0.0033
136523,0,0.0013
136524,0,0.0014
136525,0,0.0053
136526,0,0.0059
136527,0,0.0072
136528,0,0.0013
136529,0,0.006
136530,0,0.0027
136531,0,0.0037
136532,0,0.0034
136533,0,0.0027
136534,0,0.0006
136535,0,0.0028
136536,0,0.0021
136537,0,0.001
136538,0,0.0056
136539,0,0.0013
136540,0,0.0021
136541,0,0.0009
136542,0,0.0042
136543,0,0.0073
136544,0,0.0021
136545,0,0.0047
136546,0,0.0008
136547,0,0.0033
136548,0,0.0024
136549,0,0.0019
136550,0,0.0061
136551,0,0.0017
136552,0,0.0017
136553,0,0.0015
136554,0,0.0032
136555,0,0.0135
136556,0,0.0071
136557,0,0.0043
136558,0,0.004
136559,0,0.0029
136560,0,0.0047
136561,0,0.0083
136562,0,0.002
136563,0,0.0029
136564,0,0.0017
136565,0,0.0159
136566,0,0.0013
136567,0,0.0053
136568,0,0.0036
136569,0,0.0042
136570,0,0.0009
136571,0,0.0053
136572,0,0.0037
136573,0,0.0017
136574,0,0.0056
136575,0,0.0017
136576,0,0.0052
136577,0,0.0049
136578,0,0.0015
136579,0,0.0065
136580,0,0.0014
136581,0,0.0012
136582,0,0.0013
136583,0,0.0013
136584,0,0.0022
136585,0,0.0042
136586,0,0.0492
136587,0,0.001
136588,0,0.0057
136589,0,0.0027
136590,0,0.0016
136591,0,0.0033
136592,0,0.0089
136593,0,0.0052
136594,0,0.0006
136595,0,0.0017
136596,0,0.0013
136597,0,0.0017
136598,0,0.0052
136599,0,0.0026
136600,0,0.0021
136601,0,0.0042
136602,0,0.0066
136603,0,0.0033
136604,0,0.0012
136605,0,0.0061
136606,0,0.0025
136607,0,0.0036
136608,0,0.0028
136609,0,0.0046
136610,0,0.0051
136611,0,0.0011
136612,0,0.002
136613,0,0.0031
136614,0,0.001
136615,0,0.0008
136616,0,0.0015
136617,0,0.0093
136618,0,0.0019
136619,0,0.002
136620,0,0.0019
136621,0,0.0033
136622,0,0.0021
136623,0,0.0012
136624,0,0.0015
136625,0,0.0039
136626,0,0.0004
136627,0,0.0037
136628,0,0.0028
136629,0,0.0005
136630,0,0.0012
136631,0,0.0064
136632,0,0.004
136633,0,0.0018
136634,0,0.0015
136635,0,0.0121
136636,0,0.0121
136637,0,0.0035
136638,1,0.9954
136639,0,0.0059
136640,0,0.0111
136641,0,0.0021
136642,0,0.0023
136643,0,0.0343
136644,0,0.0011
136645,0,0.0011
136646,0,0.001
136647,0,0.0108
136648,0,0.0162
136649,0,0.0024
136650,0,0.0049
136651,0,0.0011
136652,1,0.9874
136653,0,0.0017
136654,0,0.0019
136655,0,0.0054
136656,0,0.0044
136657,0,0.0042
136658,0,0.0018
136659,0,0.0024
136660,0,0.0018
136661,0,0.0043
136662,0,0.0111
136663,0,0.0027
136664,0,0.0164
136665,0,0.0018
136666,0,0.0005
136667,0,0.0162
136668,0,0.0034
136669,0,0.0026
136670,0,0.0046
136671,0,0.0021
136672,0,0.0022
136673,0,0.0014
136674,0,0.0007
136675,0,0.003
136676,0,0.0029
136677,0,0.0035
136678,0,0.0013
136679,0,0.0023
136680,0,0.0069
136681,0,0.0019
136682,0,0.002
136683,0,0.002
136684,0,0.0045
136685,0,0.0118
136686,0,0.0028
136687,0,0.0053
136688,0,0.0055
136689,0,0.0059
136690,0,0.0028
136691,0,0.0126
136692,0,0.0029
136693,0,0.0009
136694,0,0.0011
136695,0,0.002
136696,0,0.0057
136697,0,0.0006
136698,0,0.0065
136699,0,0.0043
136700,0,0.0014
136701,0,0.0023
136702,0,0.0014
136703,0,0.0083
136704,0,0.0008
136705,0,0.0008
136706,0,0.0016
136707,0,0.0035
136708,0,0.0106
136709,0,0.0002
136710,0,0.0022
136711,0,0.004
136712,0,0.0006
136713,0,0.0024
136714,0,0.0127
136715,0,0.0059
136716,0,0.0018
136717,0,0.0051
136718,0,0.0139
136719,0,0.0028
136720,0,0.0002
136721,0,0.002
136722,0,0.0013
136723,0,0.0017
136724,0,0.0023
136725,0,0.0028
136726,0,0.0015
136727,0,0.0015
136728,0,0.0011
136729,0,0.0032
136730,0,0.0012
136731,0,0.0095
136732,0,0.0024
136733,0,0.0021
136734,0,0.002
136735,0,0.0017
136736,0,0.0028
136737,0,0.0013
136738,0,0.0019
136739,0,0.0065
136740,0,0.0021
136741,0,0.0195
136742,0,0.0029
136743,0,0.003
136744,0,0.0023
136745,0,0.0056
136746,0,0.0024
136747,0,0.0021
136748,0,0.0012
136749,0,0.0009
136750,0,0.0033
136751,0,0.0021
136752,0,0.001
136753,0,0.0142
136754,0,0.0024
136755,0,0.0092
136756,0,0.0011
136757,0,0.0103
136758,0,0.0019
136759,0,0.0025
136760,0,0.0015
136761,0,0.0011
136762,0,0.0238
136763,0,0.003
136764,0,0.0019
136765,0,0.0031
136766,0,0.0037
136767,0,0.0067
136768,0,0.0014
136769,0,0.0025
136770,0,0.0021
136771,0,0.0039
136772,0,0.014
136773,0,0.0012
136774,0,0.0014
136775,0,0.0094
136776,0,0.0006
136777,0,0.0018
136778,0,0.0029
136779,0,0.0025
136780,0,0.0007
136781,0,0.0057
136782,0,0.0024
136783,0,0.0004
136784,0,0.0012
136785,0,0.0039
136786,0,0.0028
136787,0,0.0043
136788,0,0.013
136789,0,0.0023
136790,0,0.0008
136791,0,0.0027
136792,0,0.0045
136793,0,0.0015
136794,0,0.0051
136795,0,0.0039
136796,0,0.0032
136797,0,0.0034
136798,0,0.005
136799,0,0.0032
136800,0,0.0021
136801,0,0.0017
136802,0,0.0025
136803,0,0.0016
136804,0,0.0018
136805,0,0.0034
136806,0,0.0009
136807,0,0.0019
136808,0,0.0023
136809,0,0.0011
136810,0,0.0055
136811,0,0.0067
136812,0,0.0007
136813,0,0.017
136814,0,0.0031
136815,0,0.0008
136816,0,0.001
136817,0,0.0013
136818,0,0.0056
136819,0,0.0008
136820,0,0.001
136821,0,0.0013
136822,0,0.0121
136823,0,0.0018
136824,0,0.0008
136825,0,0.002
136826,1,0.9965
136827,0,0.0005
136828,0,0.0012
136829,0,0.0037
136830,0,0.0027
136831,0,0.0013
136832,0,0.0027
136833,0,0.001
136834,1,0.999
136835,0,0.0026
136836,0,0.0024
136837,0,0.002
136838,0,0.0024
136839,0,0.0008
136840,0,0.0026
136841,0,0.0045
136842,0,0.0028
136843,0,0.0014
136844,0,0.0036
136845,0,0.0025
136846,0,0.002
136847,0,0.0008
136848,0,0.0017
136849,0,0.0026
136850,0,0.0032
136851,0,0.0018
136852,0,0.0042
136853,0,0.0047
136854,0,0.002
136855,0,0.0037
136856,0,0.017
136857,0,0.0037
136858,0,0.0022
136859,0,0.0012
136860,0,0.0017
136861,0,0.001
136862,0,0.0055
136863,0,0.0007
136864,0,0.0005
136865,0,0.0028
136866,0,0.0033
136867,0,0.0074
136868,0,0.0014
136869,0,0.0027
136870,0,0.0031
136871,0,0.001
136872,0,0.0034
136873,0,0.001
136874,0,0.0007
136875,0,0.0015
136876,0,0.0011
136877,0,0.0035
136878,0,0.0006
136879,0,0.0055
136880,0,0.0032
136881,0,0.0027
136882,0,0.0009
136883,0,0.0012
136884,0,0.002
136885,0,0.0147
136886,0,0.0015
136887,0,0.0019
136888,0,0.005
136889,0,0.0026
136890,0,0.0024
136891,0,0.0025
136892,0,0.0017
136893,0,0.0021
136894,0,0.0008
136895,0,0.0018
136896,0,0.0013
136897,0,0.0048
136898,0,0.0021
136899,0,0.0017
136900,0,0.0019
136901,0,0.0022
136902,0,0.0021
136903,0,0.0007
136904,0,0.003
136905,0,0.0019
136906,0,0.0009
136907,0,0.0023
136908,0,0.0014
136909,0,0.0019
136910,0,0.0032
136911,0,0.0041
136912,0,0.0065
136913,0,0.0072
136914,0,0.0013
136915,0,0.0031
136916,0,0.0011
136917,0,0.0025
136918,0,0.0009
136919,0,0.0026
136920,0,0.0013
136921,0,0.0081
136922,0,0.0016
136923,0,0.0012
136924,0,0.0011
136925,0,0.0005
136926,0,0.0008
136927,0,0.0018
136928,0,0.0021
136929,0,0.0034
136930,0,0.0031
136931,0,0.0106
136932,0,0.0059
136933,0,0.0019
136934,0,0.0034
136935,0,0.0013
136936,0,0.0052
136937,0,0.0009
136938,0,0.0012
136939,0,0.0013
136940,0,0.0019
136941,0,0.0124
136942,0,0.0014
136943,0,0.0017
136944,0,0.0641
136945,0,0.0074
136946,0,0.0044
136947,0,0.0033
136948,0,0.0008
136949,0,0.0041
136950,0,0.0019
136951,0,0.0023
136952,0,0.0009
136953,0,0.0023
136954,0,0.0004
136955,0,0.0015
136956,0,0.0013
136957,0,0.0021
136958,0,0.003
136959,0,0.0024
136960,1,0.9944
136961,0,0.0065
136962,0,0.0021
136963,0,0.0072
136964,0,0.0044
136965,0,0.0102
136966,0,0.0121
136967,0,0.0022
136968,0,0.0101
136969,0,0.0007
136970,0,0.0056
136971,0,0.0043
136972,0,0.0044
136973,0,0.0048
136974,0,0.0005
136975,0,0.007
136976,0,0.0014
136977,0,0.0035
136978,0,0.0019
136979,0,0.0011
136980,0,0.0008
136981,0,0.0012
136982,0,0.0029
136983,0,0.0017
136984,0,0.0019
136985,0,0.0142
136986,0,0.0018
136987,0,0.0052
136988,0,0.0025
136989,0,0.0029
136990,0,0.0005
136991,0,0.0019
136992,0,0.0008
136993,0,0.0013
136994,0,0.0066
136995,0,0.0133
136996,0,0.0024
136997,0,0.0042
136998,0,0.003
